National_Dex,Pokemon,Dex
255,Torchic,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
256,Combusken,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
257,Blaziken,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
258,Mudkip,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
259,Marshtomp,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
260,Swampert,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
261,Poochyena,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami']"
262,Mightyena,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami']"
263,Zigzagoon,"['Crown_Tundra', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
264,Linoone,"['Crown_Tundra', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
265,Wurmple,"['DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
266,Silcoon,"['DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
267,Beautifly,"['DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
268,Cascoon,"['DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
269,Dustox,"['DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
270,Lotad,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami']"
271,Lombre,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami']"
272,Ludicolo,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami']"
273,Seedot,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kitakami']"
274,Nuzleaf,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kitakami']"
275,Shiftry,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kitakami']"
276,Taillow,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
277,Swellow,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
278,Wingull,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
279,Pelipper,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
280,Ralts,"['Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (Pt)']"
281,Kirlia,"['Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (Pt)']"
282,Gardevoir,"['Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (Pt)']"
283,Surskit,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami', 'Paldea']"
284,Masquerain,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami', 'Paldea']"
285,Shroomish,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Paldea']"
286,Breloom,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Paldea']"
287,Slakoth,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Paldea', 'Unova (B2W2)']"
288,Vigoroth,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Paldea', 'Unova (B2W2)']"
289,Slaking,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Paldea', 'Unova (B2W2)']"
290,Nincada,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
291,Ninjask,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
292,Shedinja,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
293,Whismur,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos']"
294,Loudred,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos']"
295,Exploud,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos']"
296,Makuhita,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Paldea']"
297,Hariyama,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Paldea']"
298,Azurill,"['DP', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
299,Nosepass,"['Alola (SM)', 'Alola (USUM)', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami', 'Sinnoh (Pt)', 'Unova (B2W2)']"
300,Skitty,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Unova (B2W2)']"
301,Delcatty,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Unova (B2W2)']"
302,Sableye,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea']"
303,Mawile,"['Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose']"
304,Aron,"['Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Unova (B2W2)']"
305,Lairon,"['Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Unova (B2W2)']"
306,Aggron,"['Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Unova (B2W2)']"
307,Meditite,"['DP', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
308,Medicham,"['DP', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
309,Electrike,"['Alola (USUM)', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose']"
310,Manectric,"['Alola (USUM)', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose']"
311,Plusle,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
312,Minun,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
313,Volbeat,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami']"
314,Illumise,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Kitakami']"
315,Roselia,"['DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
316,Gulpin,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kalos', 'Paldea']"
317,Swalot,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kalos', 'Paldea']"
318,Carvanha,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Lumiose']"
319,Sharpedo,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Lumiose']"
320,Wailmer,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Unova (B2W2)']"
321,Wailord,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Unova (B2W2)']"
322,Numel,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
323,Camerupt,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
324,Torkoal,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Paldea']"
325,Spoink,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kalos', 'Kitakami', 'Paldea', 'Unova (B2W2)']"
326,Grumpig,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kalos', 'Kitakami', 'Paldea', 'Unova (B2W2)']"
327,Spinda,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
328,Trapinch,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Unova (B2W2)']"
329,Vibrava,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Unova (B2W2)']"
330,Flygon,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Unova (B2W2)']"
331,Cacnea,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Paldea']"
332,Cacturne,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Paldea']"
333,Swablu,"['Blueberry', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
334,Altaria,"['Blueberry', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
335,Zangoose,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kalos', 'Paldea', 'Unova (B2W2)']"
336,Seviper,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kalos', 'Paldea', 'Unova (B2W2)']"
337,Lunatone,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Unova (B2W2)']"
338,Solrock,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Unova (B2W2)']"
339,Barboach,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
340,Whiscash,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
341,Corphish,"['Alola (USUM)', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Kitakami', 'Unova (B2W2)']"
342,Crawdaunt,"['Alola (USUM)', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Kalos', 'Kitakami', 'Unova (B2W2)']"
343,Baltoy,"['Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Unova (B2W2)']"
344,Claydol,"['Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Unova (B2W2)']"
345,Lileep,"['Alola (USUM)', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)']"
346,Cradily,"['Alola (USUM)', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)']"
347,Anorith,"['Alola (USUM)', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)']"
348,Armaldo,"['Alola (USUM)', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)']"
349,Feebas,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
350,Milotic,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
351,Castform,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Unova (B2W2)']"
352,Kecleon,"['Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kalos']"
353,Shuppet,"['Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
354,Banette,"['Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
355,Duskull,"['Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kitakami', 'Sinnoh (Pt)']"
356,Dusclops,"['Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kitakami', 'Sinnoh (Pt)']"
357,Tropius,"['Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
358,Chimecho,"['DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Kalos', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
359,Absol,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Sinnoh (Pt)', 'Unova (B2W2)']"
360,Wynaut,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
361,Snorunt,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (Pt)']"
362,Glalie,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (Pt)']"
363,Spheal,"['Crown_Tundra', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Unova (B2W2)']"
364,Sealeo,"['Crown_Tundra', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Unova (B2W2)']"
365,Walrein,"['Crown_Tundra', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Unova (B2W2)']"
366,Clamperl,"['Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
367,Huntail,"['Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
368,Gorebyss,"['Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
369,Relicanth,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos']"
370,Luvdisc,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Paldea']"
371,Bagon,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea']"
372,Shelgon,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea']"
373,Salamence,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Kalos', 'Lumiose', 'Paldea']"
374,Beldum,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Lumiose', 'Unova (B2W2)']"
375,Metang,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Lumiose', 'Unova (B2W2)']"
376,Metagross,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Lumiose', 'Unova (B2W2)']"
377,Regirock,"['Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)']"
378,Regice,"['Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)']"
379,Registeel,"['Crown_Tundra', 'Hoenn (ORAS)', 'Hoenn (RSE)']"
380,Latias,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
381,Latios,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
382,Kyogre,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
383,Groudon,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
384,Rayquaza,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
385,Jirachi,"['Hoenn (ORAS)', 'Hoenn (RSE)']"
386,Deoxys,"['Hoenn (ORAS)', 'Hoenn (RSE)']"
387,Turtwig,"['Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
388,Grotle,"['Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
389,Torterra,"['Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
390,Chimchar,"['Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
391,Monferno,"['Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
392,Infernape,"['Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
393,Piplup,"['Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
394,Prinplup,"['Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
395,Empoleon,"['Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
396,Starly,"['DP', 'Hisui ', 'Hyperspace', 'Kalos', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
397,Staravia,"['DP', 'Hisui ', 'Hyperspace', 'Kalos', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
398,Staraptor,"['DP', 'Hisui ', 'Hyperspace', 'Kalos', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
399,Bidoof,"['DP', 'Hisui ', 'Kalos', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
400,Bibarel,"['DP', 'Hisui ', 'Kalos', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
401,Kricketot,"['DP', 'Hisui ', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
402,Kricketune,"['DP', 'Hisui ', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
403,Shinx,"['DP', 'Hisui ', 'Isle_of_Armor', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
404,Luxio,"['DP', 'Hisui ', 'Isle_of_Armor', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
405,Luxray,"['DP', 'Hisui ', 'Isle_of_Armor', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
406,Budew,"['DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Kalos', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
407,Roserade,"['DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Kalos', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
408,Cranidos,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
409,Rampardos,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
410,Shieldon,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
411,Bastiodon,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
412,Burmy,"['DP', 'Hisui ', 'Kalos', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
413,Wormadam,"['DP', 'Hisui ', 'Kalos', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
414,Mothim,"['DP', 'Hisui ', 'Kalos', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
415,Combee,"['DP', 'Galar', 'Hisui ', 'Isle_of_Armor', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
416,Vespiquen,"['DP', 'Galar', 'Hisui ', 'Isle_of_Armor', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
417,Pachirisu,"['DP', 'Hisui ', 'Kalos', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
418,Buizel,"['DP', 'Hisui ', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
419,Floatzel,"['DP', 'Hisui ', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
420,Cherubi,"['DP', 'Galar', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
421,Cherrim,"['DP', 'Galar', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
422,Shellos,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
423,Gastrodon,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
424,Ambipom,"['Alola (USUM)', 'DP', 'Hisui ', 'Johto (HgSs)', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
425,Drifloon,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Isle_of_Armor', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
426,Drifblim,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Isle_of_Armor', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
427,Buneary,"['Alola (USUM)', 'DP', 'Hisui ', 'Isle_of_Armor', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
428,Lopunny,"['Alola (USUM)', 'DP', 'Hisui ', 'Isle_of_Armor', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
429,Mismagius,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Hisui ', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
430,Honchkrow,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Hisui ', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
431,Glameow,"['DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
432,Purugly,"['DP', 'Hisui ', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
