National_Dex,Pokemon,Form,RGBY,FrLg,GSC,RSE,DPPt,HgSs,BW,B2W2,XY,OrAs,SM,UsUm,PE,SwSh,BdSp,LA,SV,ZA
332,Cacturne,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
333,Swablu,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
334,Altaria,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
335,Zangoose,,[],[],[],['Ruby'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",['Omega Ruby'],[],[],[],[],['Brilliant Diamond'],[],"['Scarlet', 'Violet']",['Legends ZA']
336,Seviper,,[],[],[],"['Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",['Alpha Sapphire'],[],[],[],[],['Shining Pearl'],[],"['Scarlet', 'Violet']",['Legends ZA']
337,Lunatone,,[],[],[],['Sapphire'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",['Alpha Sapphire'],[],[],[],"['Sword', 'Shield']",['Shining Pearl'],[],[],[]
338,Solrock,,[],[],[],"['Ruby', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",['Omega Ruby'],[],[],[],['Sword'],['Brilliant Diamond'],[],[],[]
339,Barboach,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
340,Whiscash,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
341,Corphish,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
342,Crawdaunt,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
343,Baltoy,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']","['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']",[],['Ultra Moon'],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
344,Claydol,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']","['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']",[],['Ultra Moon'],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
345,Lileep,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],"['Black', 'White']","['Black 2', 'White 2']",['X'],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
346,Cradily,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],"['Black', 'White']","['Black 2', 'White 2']",['X'],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
347,Anorith,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']","['Black 2', 'White 2']",['X'],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
348,Armaldo,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']","['Black 2', 'White 2']",['X'],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
349,Feebas,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
350,Milotic,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
351,Castform,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
352,Kecleon,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],['Brilliant Diamond'],[],[],['Legends ZA']
353,Shuppet,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
354,Banette,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
355,Duskull,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
356,Dusclops,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
357,Tropius,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",['Platinum'],"['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
358,Chimecho,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']",[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
359,Absol,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],['Legends ZA']
360,Wynaut,,[],"['Fire Red', 'Leaf Green']",[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
361,Snorunt,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
362,Glalie,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
363,Spheal,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",['Platinum'],"['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
364,Sealeo,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",['Platinum'],"['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
365,Walrein,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",['Platinum'],"['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
366,Clamperl,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",['Diamond'],"['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
367,Huntail,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
368,Gorebyss,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
369,Relicanth,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
370,Luvdisc,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
371,Bagon,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",['Platinum'],"['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],['Sword'],['Shining Pearl'],[],['Violet'],['Legends ZA']
372,Shelgon,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",['Platinum'],"['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],['Sword'],['Shining Pearl'],[],['Violet'],['Legends ZA']
373,Salamence,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",['Platinum'],"['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],['Sword'],['Shining Pearl'],[],['Violet'],['Legends ZA']
374,Beldum,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
375,Metang,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
376,Metagross,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
377,Regirock,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",[],[],"['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
378,Regice,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",[],[],['White 2'],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
379,Registeel,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",[],[],['Black 2'],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
380,Latias,,[],[],[],"['Sapphire', 'Emerald']",[],['Heart Gold'],[],['White 2'],"['X', 'Y']",['Alpha Sapphire'],"['Sun', 'Moon']",['Ultra Moon'],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],['Violet'],['Legends ZA']
381,Latios,,[],[],[],"['Ruby', 'Emerald']",[],['Soul Silver'],[],['Black 2'],"['X', 'Y']",['Omega Ruby'],"['Sun', 'Moon']",['Ultra Sun'],[],['Sword'],"['Brilliant Diamond', 'Shining Pearl']",[],['Scarlet'],['Legends ZA']
382,Kyogre,,[],[],[],"['Sapphire', 'Emerald']",[],['Heart Gold'],[],[],"['X', 'Y']",['Alpha Sapphire'],"['Sun', 'Moon']",['Ultra Moon'],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],['Violet'],['Legends ZA']
383,Groudon,,[],[],[],"['Ruby', 'Emerald']",[],['Soul Silver'],[],[],"['X', 'Y']",['Omega Ruby'],"['Sun', 'Moon']",['Ultra Sun'],[],['Sword'],"['Brilliant Diamond', 'Shining Pearl']",[],['Scarlet'],['Legends ZA']
384,Rayquaza,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
385,Jirachi,,[],[],[],"['Ruby', 'Sapphire', 'Emerald']",[],[],[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
386,Deoxys,,[],[],[],"['Ruby', 'Sapphire']",[],[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
386,Deoxys,Attack,[],"['Fire Red', 'Leaf Green']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
386,Deoxys,Attack Forme,[],['Fire Red'],[],[],[],[],[],[],[],[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
386,Deoxys,Defense,[],"['Fire Red', 'Leaf Green']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
386,Deoxys,Defense Forme,[],['Leaf Green'],[],[],[],[],[],[],[],[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
386,Deoxys,Normal Forme,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Scarlet', 'Violet']",[]
386,Deoxys,Speed Forme,[],[],[],['Emerald'],[],[],[],[],[],[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
387,Turtwig,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']",[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
388,Grotle,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']",[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
389,Torterra,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']",[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
390,Chimchar,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']",[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
391,Monferno,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']",[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
392,Infernape,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']",[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
393,Piplup,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']",[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
394,Prinplup,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']",[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
395,Empoleon,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']",[],[],[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
396,Starly,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']",[],"['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
397,Staravia,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']",[],"['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
398,Staraptor,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']",[],"['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
399,Bidoof,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
400,Bibarel,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
401,Kricketot,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']",[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
402,Kricketune,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']",[],[],"['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
403,Shinx,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
404,Luxio,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
405,Luxray,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
406,Budew,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],['Legends ZA']
407,Roserade,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],['Legends ZA']
408,Cranidos,,[],[],[],[],"['Diamond', 'Platinum']",[],"['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",['Alpha Sapphire'],['Sun'],[],[],[],['Brilliant Diamond'],['Legends Arceus'],['Scarlet'],[]
409,Rampardos,,[],[],[],[],"['Diamond', 'Platinum']",[],"['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",['Alpha Sapphire'],['Sun'],[],[],[],['Brilliant Diamond'],['Legends Arceus'],['Scarlet'],[]
410,Shieldon,,[],[],[],[],['Platinum'],[],"['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",['Omega Ruby'],['Moon'],[],[],[],['Shining Pearl'],['Legends Arceus'],['Violet'],[]
411,Bastiodon,,[],[],[],[],['Platinum'],[],"['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",['Omega Ruby'],['Moon'],[],[],[],['Shining Pearl'],['Legends Arceus'],['Violet'],[]
412,Burmy,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
413,Wormadam,,[],[],[],[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
413,Wormadam,Sandy Cloak,[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
413,Wormadam,Trash Cloak,[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
